ID	User	FollowersCount	Tweet	CreatedAt	RetweetCount	Truncated	Language	PossiblySensitive	IsLocationAvailable	Retweeted	ScreenNameResponse	UserIDResponse	FriendsCount	ListedCount	UserFavouritesCount	StatusesCount	UserLocation	UserCreatedAt	UserActiveDays	FavoriteCount	EntitiesUrls	EntitiesUrlsCount	EntitiesHashtags	EntitiesHashtagsCount	EntitiesMentions	EntitiesMentionsCount	EntitiesMentionIds	InReplyToScreenName	Source	UserProfileImage	NumCharacters	NumWords	RetweetedUser	RetweetedUserScreenNameResponse	RetweetedUserFollowersCount	RetweetedUserListedCount	RetweetedUserStatusesCount	RetweetedUserLocation	RetweetedUserCreatedAt	Label
581149860197335040	MARCOS ABRIL TROYA	1	Panerai Radiomir California Dial 3 Days PAM 424 5.696 € http://t.co/ss6sXzGKd0	26-3-2015 17:44:58	0	False	en	False	False	False	TroyaAbril	2925002042	53	0	1	8087	Null	10-12-2014 02:04:51	106	0	http://t.co/ss6sXzGKd0	1	Null	0	Null	0	Null	Null	<a href="http://twitterfeed.com" rel="nofollow">twitterfeed</a>	Null	78	11	Null	Null	Null	Null	Null	Null	Null	not_related_or_irrelevant
577576121962668032	wxthehague	45	The Hague Weather - Jaylene tells of how her house was ripped apart by Cyclone Pam while 10 people were in inside… http://t.co/sr8XJ0YyiO	16-3-2015 21:04:12	0	False	en	False	False	False	wxthehague	99058677	1	3	0	44559	the hague, the Netherlands	24-12-2009 07:50:38	1908	0	http://t.co/sr8XJ0YyiO	1	Null	0	Null	0	Null	Null	<a href="https://www.google.com/" rel="nofollow">Google</a>	Null	137	23	Null	Null	Null	Null	Null	Null	Null	infrastructure_and_utilities_damage
579507113434570753	Cheryl	866	@UNFAO calls for emergency support for farmers in #Vanuatu - http://t.co/AeafA2HiPj #TCPam	22-3-2015 04:57:17	2	False	en	False	False	False	aggerchez	2574876709	559	77	75533	18460	Null	18-6-2014 13:29:55	276	0	http://t.co/AeafA2HiPj	1	Vanuatu,TCPam	2	UNFAO	1	134863554	UNFAO	<a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>	Null	90	12	Null	Null	Null	Null	Null	Null	Null	donation_needs_or_offers_or_volunteering_services
577223328114454528	Marcus the KNIGHT of the Darkness	20207	RT @junglefruits: TROPICAL CYCLONE FORECAST TRACK MAP Tropical Cyclone Nathan http://t.co/Sy8QvzsTL7 http://t.co/tS9DPETEpy	15-3-2015 21:42:20	2	False	en	False	False	True	blanketcrap	188143601	18799	856	51201	449689	Mt Morgan	8-9-2010 01:03:41	1649	0	http://t.co/Sy8QvzsTL7	1	Null	0	junglefruits	1	57871450	Null	<a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>	Null	123	10	junglefruits	junglefruits	6184	395	187700	South Yaamba, QLD	18-7-2009 06:17:19	other_useful_information
576215093794508800	NNatter	5433	RT @StuOstro: Tropical Cyclone #Pam http://t.co/HOXWJkCf62	13-3-2015 02:55:58	12	False	en	True	False	True	SSnatter	710956752	4763	136	95615	78835	In front of the TV	22-7-2012 16:51:45	963	0	Null	0	Pam	1	StuOstro	1	148435933	Null	<a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>	Null	58	6	Stu Ostro	StuOstro	211146	1306	13524	Decatur, GA	26-5-2010 17:57:38	other_useful_information
577139127059091456	Web-2-3-Linkaloo	1772	http://t.co/mRD5JnLWhb #news Cyclone Pam Blows Away Villages on Vanuatu Island - Discovery News	15-3-2015 16:07:45	0	False	en	False	False	False	Beduac	15750149	897	180	292	1801301	Null	6-8-2008 14:08:57	2412	0	http://t.co/mRD5JnLWhb	1	news	1	Null	0	Null	Null	<a href="https://www.google.com/" rel="nofollow">Google</a>	Null	95	13	Null	Null	Null	Null	Null	Null	Null	infrastructure_and_utilities_damage
577312321036554241	Aaron Takaza	74	Vanuatu cyclone: Pam 'wiped out' development - BBC News via /r/worldnews http://t.co/Ah2XZhdtZo	16-3-2015 03:35:57	0	False	en	False	False	False	madtakaza	600766327	9	26	0	133465	Null	6-6-2012 07:24:44	1012	0	http://t.co/Ah2XZhdtZo	1	Null	0	Null	0	Null	Null	<a href="https://ifttt.com" rel="nofollow">IFTTT</a>	Null	95	12	Null	Null	Null	Null	Null	Null	Null	infrastructure_and_utilities_damage
577741322930376704	BJP Mahila Morcha	1696	RT @thekiranbedi: US congresswoman,Grace Ming,Chamunda Swami,Pam Kwatra @IVFoundation fund raiser event: photo @jaymandal,Thks http://t.co/…	17-3-2015 08:00:39	46	False	en	False	False	True	BJPMahilaMorch	2173906368	36	4	379	5692	Null	4-11-2013 12:17:08	497	0	Null	0	Null	0	thekiranbedi,IVFoundation,jaymandal	3	68977380,273294010,44360292	Null	<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>	Null	140	14	Kiran Bedi	thekiranbedi	12115131	6109	32191	India	26-8-2009 13:32:38	donation_needs_or_offers_or_volunteering_services
576754146944163840	Sage.	5401	RT @WFP_Asia: In contact with #vanuatu to understand impact of #CyclonePam, @WFP staff on way for assessment of food, logistics needs.	14-3-2015 14:37:58	26	False	en	False	False	True	olufisiayomi	270515734	1268	141	1596	157933	searching....	22-3-2011 19:21:00	1452	0	Null	0	vanuatu,CyclonePam	2	WFP	1	27830610	Null	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	Null	134	21	@WFPAsiaPacific	WFPAsiaPacific	9603	287	7815	Bangkok, Thailand	21-6-2011 04:25:43	donation_needs_or_offers_or_volunteering_services
576918307871289345	emily ✧@kenssnapback	1872	someone tell kenvi that not every workplace relationship ends like jim and pam http://t.co/s3SjQcHue1	15-3-2015 01:30:17	0	False	en	False	False	False	kenssnapback46	2214242246	268	58	572	266260	(≧L≦ )゜ﾟ･*♡	25-11-2013 15:25:25	474	1	http://t.co/s3SjQcHue1	1	Null	0	Null	0	Null	Null	<a href="http://itunes.apple.com/us/app/twitter/id409789998?mt=12" rel="nofollow">Twitter for Mac</a>	Null	101	14	Null	Null	Null	Null	Null	Null	Null	not_related_or_irrelevant
